n_mfcc,run_id,seed,test_accuracy,test_loss,epochs_trained,train_duration,history_loss,history_accuracy,history_val_loss,history_val_accuracy
5,1,893,0.6330532431602478,1.5009815692901611,30,119.03573870658875,"[2.723757266998291, 2.20636248588562, 2.020049571990967, 1.9210152626037598, 1.8285033702850342, 1.770857810974121, 1.7122100591659546, 1.6706022024154663, 1.6200586557388306, 1.5823509693145752, 1.5458314418792725, 1.5172137022018433, 1.4749188423156738, 1.439404845237732, 1.428720235824585, 1.3850153684616089, 1.3658113479614258, 1.3348006010055542, 1.2916736602783203, 1.2687722444534302, 1.2569400072097778, 1.2223281860351562, 1.2022349834442139, 1.1829423904418945, 1.176250696182251, 1.1328659057617188, 1.1222385168075562, 1.103948950767517, 1.0809216499328613, 1.0536634922027588]","[0.29463839530944824, 0.3876732885837555, 0.4249206483364105, 0.456155002117157, 0.48471689224243164, 0.5012527108192444, 0.5202939510345459, 0.5364957451820374, 0.5420076847076416, 0.5668949484825134, 0.5704025626182556, 0.5835977792739868, 0.6046434044837952, 0.6134958863258362, 0.6166694760322571, 0.6333723068237305, 0.6432269811630249, 0.645565390586853, 0.6554200649261475, 0.6721229553222656, 0.6714548468589783, 0.6911641955375671, 0.6904960870742798, 0.702856183052063, 0.7010188698768616, 0.7135460376739502, 0.7165525555610657, 0.7203941941261292, 0.7345916032791138, 0.7354267835617065]","[2.1512930393218994, 1.8750652074813843, 1.8070045709609985, 1.7594761848449707, 1.7218387126922607, 1.768825888633728, 1.6678979396820068, 1.696600079536438, 1.6617285013198853, 1.6589395999908447, 1.712120771408081, 1.6410024166107178, 1.6312304735183716, 1.6251131296157837, 1.6337270736694336, 1.5803849697113037, 1.6041730642318726, 1.545714020729065, 1.5616997480392456, 1.6202579736709595, 1.5284504890441895, 1.6040689945220947, 1.6369664669036865, 1.4999189376831055, 1.5256356000900269, 1.5640298128128052, 1.5320883989334106, 1.6381943225860596, 1.4750803709030151, 1.5813071727752686]","[0.35600000619888306, 0.46533334255218506, 0.5059999823570251, 0.5053333044052124, 0.5166666507720947, 0.5026666522026062, 0.5333333611488342, 0.5180000066757202, 0.54666668176651, 0.5446666479110718, 0.5373333096504211, 0.5619999766349792, 0.5693333148956299, 0.5799999833106995, 0.5646666884422302, 0.5893333554267883, 0.5853333473205566, 0.6019999980926514, 0.5946666598320007, 0.5913333296775818, 0.6346666812896729, 0.5866666436195374, 0.5953333377838135, 0.6333333253860474, 0.6233333349227905, 0.6013333201408386, 0.6146666407585144, 0.5873333215713501, 0.653333306312561, 0.6060000061988831]"
5,2,7739,0.6174469590187073,1.5372650623321533,30,117.93053722381592,"[2.783846378326416, 2.2901992797851562, 2.0714681148529053, 1.940277338027954, 1.8857805728912354, 1.793626070022583, 1.7419850826263428, 1.6807911396026611, 1.6636669635772705, 1.614446997642517, 1.5660910606384277, 1.5494986772537231, 1.5332566499710083, 1.4916653633117676, 1.4550940990447998, 1.4213134050369263, 1.3996895551681519, 1.365082859992981, 1.3345105648040771, 1.3081448078155518, 1.282202124595642, 1.2747085094451904, 1.2543953657150269, 1.219311237335205, 1.201228141784668, 1.1705797910690308, 1.1513190269470215, 1.134157657623291, 1.0991061925888062, 1.0878305435180664]","[0.28946051001548767, 0.3763153553009033, 0.4107232391834259, 0.4593285322189331, 0.4685151278972626, 0.4929012954235077, 0.5116084814071655, 0.5144479870796204, 0.5258058905601501, 0.5471855401992798, 0.5645565390586853, 0.5642224550247192, 0.5734090805053711, 0.5921162366867065, 0.5977952480316162, 0.6094872355461121, 0.6255219578742981, 0.6382161378860474, 0.6422248482704163, 0.6519124507904053, 0.6692834496498108, 0.6714548468589783, 0.6689493656158447, 0.6824787259101868, 0.6866543889045715, 0.6943377256393433, 0.70920330286026, 0.7066978216171265, 0.7272423505783081, 0.7212293148040771]","[2.171389579772949, 1.9328608512878418, 1.8864113092422485, 1.8674885034561157, 1.7842206954956055, 1.7933168411254883, 1.7262381315231323, 1.705363154411316, 1.6854990720748901, 1.7217177152633667, 1.6712570190429688, 1.686983346939087, 1.6454566717147827, 1.647443413734436, 1.6784836053848267, 1.6611278057098389, 1.6224364042282104, 1.6110713481903076, 1.7216664552688599, 1.5983004570007324, 1.6064083576202393, 1.598278522491455, 1.6029210090637207, 1.6132659912109375, 1.6077802181243896, 1.5754197835922241, 1.6237112283706665, 1.6552925109863281, 1.670813798904419, 1.6240984201431274]","[0.3453333377838135, 0.4273333251476288, 0.4606666564941406, 0.47733333706855774, 0.4946666657924652, 0.4946666657924652, 0.5146666765213013, 0.5320000052452087, 0.5366666913032532, 0.5373333096504211, 0.5366666913032532, 0.5453333258628845, 0.5406666398048401, 0.5440000295639038, 0.5493333339691162, 0.5513333082199097, 0.5766666531562805, 0.5686666369438171, 0.5433333516120911, 0.5766666531562805, 0.5853333473205566, 0.5946666598320007, 0.5933333039283752, 0.5913333296775818, 0.5899999737739563, 0.6026666760444641, 0.5886666774749756, 0.5893333554267883, 0.5726666450500488, 0.5973333120346069]"
5,3,6546,0.6198479533195496,1.5447357892990112,30,117.58631324768066,"[2.809786796569824, 2.235779285430908, 2.0507845878601074, 1.9269787073135376, 1.8405134677886963, 1.776581048965454, 1.7156054973602295, 1.6773746013641357, 1.6260391473770142, 1.5791548490524292, 1.5373344421386719, 1.5120525360107422, 1.4919947385787964, 1.4477672576904297, 1.4331477880477905, 1.3910365104675293, 1.3624317646026611, 1.3414846658706665, 1.3023097515106201, 1.2805088758468628, 1.267943263053894, 1.2330306768417358, 1.232478380203247, 1.1869680881500244, 1.1852431297302246, 1.1439710855484009, 1.1158051490783691, 1.1066728830337524, 1.0725425481796265, 1.0617398023605347]","[0.2904626727104187, 0.38700518012046814, 0.42458659410476685, 0.44980791211128235, 0.48154333233833313, 0.5037581324577332, 0.5179555416107178, 0.5341573357582092, 0.5520293712615967, 0.563888430595398, 0.5667279362678528, 0.5867713093757629, 0.587105393409729, 0.6054785251617432, 0.6144980788230896, 0.6226824522018433, 0.6340404152870178, 0.6365458369255066, 0.660430908203125, 0.6654418110847473, 0.66477370262146, 0.6809754371643066, 0.6806414127349854, 0.6916652917861938, 0.6986804604530334, 0.7155503630638123, 0.724068820476532, 0.7267412543296814, 0.731251060962677, 0.7386003136634827]","[2.0580170154571533, 1.8831572532653809, 1.8546561002731323, 1.8196438550949097, 1.7643449306488037, 1.7374138832092285, 1.7382967472076416, 1.7078354358673096, 1.6990622282028198, 1.7149285078048706, 1.7014843225479126, 1.671565294265747, 1.7326990365982056, 1.702540636062622, 1.6489472389221191, 1.6342589855194092, 1.6489284038543701, 1.6217241287231445, 1.659773588180542, 1.6820316314697266, 1.6485276222229004, 1.5838614702224731, 1.604441523551941, 1.6113932132720947, 1.6062077283859253, 1.6164124011993408, 1.6358957290649414, 1.6294100284576416, 1.6080044507980347, 1.5881972312927246]","[0.41200000047683716, 0.4480000138282776, 0.4713333249092102, 0.4833333194255829, 0.5133333206176758, 0.5146666765213013, 0.5139999985694885, 0.5360000133514404, 0.5293333530426025, 0.5373333096504211, 0.5386666655540466, 0.5513333082199097, 0.5413333177566528, 0.5453333258628845, 0.5506666898727417, 0.5613333582878113, 0.5646666884422302, 0.5839999914169312, 0.5693333148956299, 0.5506666898727417, 0.5720000267028809, 0.5886666774749756, 0.5913333296775818, 0.5926666855812073, 0.5973333120346069, 0.581333339214325, 0.5833333134651184, 0.5920000076293945, 0.6100000143051147, 0.6079999804496765]"
5,4,4389,0.5634253621101379,1.6644868850708008,30,118.5806622505188,"[2.7788705825805664, 2.2414867877960205, 2.050131320953369, 1.9390332698822021, 1.8450950384140015, 1.7701152563095093, 1.7334736585617065, 1.6752742528915405, 1.6345256567001343, 1.6034313440322876, 1.5643558502197266, 1.52742338180542, 1.4885748624801636, 1.4520399570465088, 1.4252201318740845, 1.3870115280151367, 1.368161678314209, 1.3692009449005127, 1.337693691253662, 1.2969276905059814, 1.2658908367156982, 1.2616450786590576, 1.2217105627059937, 1.1808371543884277, 1.162330150604248, 1.1451815366744995, 1.1462087631225586, 1.1139007806777954, 1.0849597454071045, 1.0717062950134277]","[0.2917988896369934, 0.3823283910751343, 0.4222482144832611, 0.4488057494163513, 0.4685151278972626, 0.49807918071746826, 0.509437084197998, 0.5271421670913696, 0.5406714677810669, 0.5540337562561035, 0.557875394821167, 0.5757474303245544, 0.5894438028335571, 0.5984633564949036, 0.616001307964325, 0.6241857409477234, 0.6256889700889587, 0.6340404152870178, 0.6392183303833008, 0.6605979800224304, 0.659595787525177, 0.6724569797515869, 0.6869884729385376, 0.7001837491989136, 0.6991815567016602, 0.7102054357528687, 0.7050275802612305, 0.7148822546005249, 0.7205612063407898, 0.7319191694259644]","[2.1949541568756104, 2.0104076862335205, 1.9528206586837769, 1.8896898031234741, 1.8807532787322998, 1.8305250406265259, 1.7503854036331177, 1.8057280778884888, 1.6978940963745117, 1.7556569576263428, 1.7185187339782715, 1.6927067041397095, 1.79914391040802, 1.7434734106063843, 1.7185667753219604, 1.7484080791473389, 1.6991099119186401, 1.7065211534500122, 1.6840547323226929, 1.6526360511779785, 1.757258415222168, 1.6706007719039917, 1.7196388244628906, 1.6618577241897583, 1.6813421249389648, 1.6472300291061401, 1.6702924966812134, 1.706712245941162, 1.661906123161316, 1.8118674755096436]","[0.33799999952316284, 0.4059999883174896, 0.43066665530204773, 0.47066667675971985, 0.48266667127609253, 0.5066666603088379, 0.512666642665863, 0.515999972820282, 0.5353333353996277, 0.5246666669845581, 0.5306666493415833, 0.5453333258628845, 0.5206666588783264, 0.5386666655540466, 0.54666668176651, 0.5373333096504211, 0.5526666641235352, 0.5479999780654907, 0.5659999847412109, 0.5713333487510681, 0.5360000133514404, 0.5613333582878113, 0.5619999766349792, 0.5853333473205566, 0.559333324432373, 0.5820000171661377, 0.5633333325386047, 0.578000009059906, 0.5726666450500488, 0.5433333516120911]"
5,5,4330,0.609843909740448,1.56625497341156,30,117.43717002868652,"[2.702652931213379, 2.2012040615081787, 2.0163440704345703, 1.8976075649261475, 1.8103647232055664, 1.7668395042419434, 1.6851054430007935, 1.6466255187988281, 1.610528826713562, 1.590636134147644, 1.5423158407211304, 1.4997875690460205, 1.4759726524353027, 1.4418725967407227, 1.4150491952896118, 1.3868684768676758, 1.3415194749832153, 1.3210595846176147, 1.3078155517578125, 1.2878309488296509, 1.2454760074615479, 1.2119419574737549, 1.1991643905639648, 1.1824524402618408, 1.1563814878463745, 1.133387804031372, 1.1135900020599365, 1.0933717489242554, 1.0741599798202515, 1.0458624362945557]","[0.29731082916259766, 0.38399866223335266, 0.4302655756473541, 0.4566560983657837, 0.4858860969543457, 0.5027559995651245, 0.527810275554657, 0.5443460941314697, 0.5453482270240784, 0.5588775873184204, 0.5712376832962036, 0.5814264416694641, 0.5927843451499939, 0.6051445007324219, 0.6175045967102051, 0.6261900663375854, 0.6402204632759094, 0.6469016075134277, 0.652747631072998, 0.6666110157966614, 0.6749624013900757, 0.6849841475486755, 0.6858192682266235, 0.6935026049613953, 0.7046934962272644, 0.7127108573913574, 0.7170535922050476, 0.7292466759681702, 0.7304158806800842, 0.7447803616523743]","[2.107166051864624, 1.9536007642745972, 1.8609012365341187, 1.799752116203308, 1.7889302968978882, 1.7848310470581055, 1.7573059797286987, 1.7451679706573486, 1.6974165439605713, 1.674584150314331, 1.7296360731124878, 1.7271041870117188, 1.6905783414840698, 1.65850830078125, 1.6592015027999878, 1.6920740604400635, 1.5943782329559326, 1.6844615936279297, 1.643442988395691, 1.642741322517395, 1.6251599788665771, 1.6414716243743896, 1.6255662441253662, 1.637998104095459, 1.696563959121704, 1.6560580730438232, 1.598912239074707, 1.6590956449508667, 1.595841646194458, 1.5801453590393066]","[0.36133334040641785, 0.41333332657814026, 0.4493333399295807, 0.492000013589859, 0.49533334374427795, 0.5053333044052124, 0.5006666779518127, 0.5019999742507935, 0.5299999713897705, 0.5260000228881836, 0.5099999904632568, 0.5239999890327454, 0.531333327293396, 0.5553333163261414, 0.550000011920929, 0.5353333353996277, 0.5860000252723694, 0.5419999957084656, 0.5646666884422302, 0.5666666626930237, 0.5720000267028809, 0.5699999928474426, 0.5766666531562805, 0.5706666707992554, 0.5753333568572998, 0.578000009059906, 0.596666693687439, 0.5713333487510681, 0.5680000185966492, 0.609333336353302]"
5,6,8586,0.6158463358879089,1.5275793075561523,30,118.05856466293335,"[2.7927510738372803, 2.2439777851104736, 2.0595579147338867, 1.9134021997451782, 1.8369593620300293, 1.76887845993042, 1.713485836982727, 1.6704543828964233, 1.6131728887557983, 1.5914314985275269, 1.5426291227340698, 1.5215193033218384, 1.4780546426773071, 1.4206279516220093, 1.414358377456665, 1.382673978805542, 1.3610072135925293, 1.3292512893676758, 1.3011319637298584, 1.2570406198501587, 1.2475582361221313, 1.2253401279449463, 1.2076022624969482, 1.178706407546997, 1.1360986232757568, 1.1511797904968262, 1.1133391857147217, 1.112326741218567, 1.080207109451294, 1.0593502521514893]","[0.28361448645591736, 0.38166025280952454, 0.42542174458503723, 0.45381659269332886, 0.4845498502254486, 0.5017538070678711, 0.5224653482437134, 0.5318189263343811, 0.5503591299057007, 0.5531985759735107, 0.5772507190704346, 0.5819275379180908, 0.5912811160087585, 0.6170035004615784, 0.6136629581451416, 0.6240187287330627, 0.6382161378860474, 0.6502422094345093, 0.6585935950279236, 0.6624352931976318, 0.6751294732093811, 0.6889927983283997, 0.6901620030403137, 0.6973442435264587, 0.7113746404647827, 0.7065308094024658, 0.7218974232673645, 0.7147152423858643, 0.7277434468269348, 0.7387673258781433]","[2.1348211765289307, 1.9785908460617065, 1.876688838005066, 1.849784016609192, 1.8512845039367676, 1.758280634880066, 1.7118971347808838, 1.7132731676101685, 1.7843703031539917, 1.679896593093872, 1.6900367736816406, 1.6872724294662476, 1.7023437023162842, 1.6567350625991821, 1.6598209142684937, 1.6956037282943726, 1.6214126348495483, 1.5930554866790771, 1.6014097929000854, 1.6772326231002808, 1.558704137802124, 1.5865225791931152, 1.546951174736023, 1.575162410736084, 1.6174026727676392, 1.582728385925293, 1.6022030115127563, 1.6110185384750366, 1.5738588571548462, 1.5463825464248657]","[0.3713333308696747, 0.41600000858306885, 0.46133333444595337, 0.4646666646003723, 0.46666666865348816, 0.5080000162124634, 0.5213333368301392, 0.5199999809265137, 0.5120000243186951, 0.5366666913032532, 0.5379999876022339, 0.5373333096504211, 0.5446666479110718, 0.5519999861717224, 0.5659999847412109, 0.5453333258628845, 0.5646666884422302, 0.5833333134651184, 0.5933333039283752, 0.5786666870117188, 0.6019999980926514, 0.6013333201408386, 0.6073333621025085, 0.6140000224113464, 0.6039999723434448, 0.612666666507721, 0.6033333539962769, 0.6060000061988831, 0.6119999885559082, 0.628000020980835]"
5,7,860,0.5962384939193726,1.6987133026123047,30,142.89551186561584,"[2.7498655319213867, 2.1826398372650146, 1.9926830530166626, 1.8758906126022339, 1.7992678880691528, 1.741817593574524, 1.687764286994934, 1.6430613994598389, 1.5945854187011719, 1.5741318464279175, 1.5434153079986572, 1.5109626054763794, 1.4624987840652466, 1.426436185836792, 1.4005509614944458, 1.3820626735687256, 1.3365416526794434, 1.3073692321777344, 1.2973781824111938, 1.262133002281189, 1.2507774829864502, 1.2243099212646484, 1.2009892463684082, 1.179423451423645, 1.1525728702545166, 1.1155847311019897, 1.1020489931106567, 1.0750768184661865, 1.0506718158721924, 1.0395374298095703]","[0.29163187742233276, 0.4015366733074188, 0.44229161739349365, 0.4726908206939697, 0.49891430139541626, 0.5052614212036133, 0.5189577341079712, 0.5443460941314697, 0.5593786239624023, 0.5583764910697937, 0.5694003701210022, 0.5866042971611023, 0.5976281762123108, 0.6111575365066528, 0.6200100183486938, 0.6268581748008728, 0.6420577764511108, 0.653582751750946, 0.6614331007003784, 0.6642726063728333, 0.6699515581130981, 0.6773008108139038, 0.6955069303512573, 0.6980123519897461, 0.7098714113235474, 0.7195590734481812, 0.7237347364425659, 0.7325872778892517, 0.7406046390533447, 0.7402706146240234]","[2.1439967155456543, 1.9642008543014526, 1.8938894271850586, 1.8415826559066772, 1.846659779548645, 1.8343429565429688, 1.8240071535110474, 1.8072316646575928, 1.7658683061599731, 1.7530766725540161, 1.7456673383712769, 1.7600257396697998, 1.7244462966918945, 1.7302536964416504, 1.7887781858444214, 1.744845986366272, 1.7219661474227905, 1.6781362295150757, 1.6533135175704956, 1.705926775932312, 1.6817556619644165, 1.6668705940246582, 1.639761209487915, 1.7063273191452026, 1.6872742176055908, 1.6836910247802734, 1.6730334758758545, 1.6309456825256348, 1.7064876556396484, 1.7376585006713867]","[0.3566666543483734, 0.4359999895095825, 0.4659999907016754, 0.49533334374427795, 0.4866666793823242, 0.4866666793823242, 0.5113333463668823, 0.49799999594688416, 0.5260000228881836, 0.5206666588783264, 0.5213333368301392, 0.5213333368301392, 0.5246666669845581, 0.5446666479110718, 0.5226666927337646, 0.5353333353996277, 0.5506666898727417, 0.5546666383743286, 0.5640000104904175, 0.559333324432373, 0.5646666884422302, 0.5619999766349792, 0.5846666693687439, 0.5733333230018616, 0.5773333311080933, 0.5826666951179504, 0.5873333215713501, 0.5926666855812073, 0.5853333473205566, 0.5773333311080933]"
5,8,6973,0.5922368764877319,1.6227039098739624,30,142.91410756111145,"[2.737628221511841, 2.2263827323913574, 2.0349700450897217, 1.8895186185836792, 1.8409382104873657, 1.7425862550735474, 1.696171760559082, 1.6617650985717773, 1.610117793083191, 1.5877957344055176, 1.5480934381484985, 1.5187716484069824, 1.4847204685211182, 1.4556251764297485, 1.4268170595169067, 1.403857946395874, 1.3679206371307373, 1.3334180116653442, 1.320077657699585, 1.2948877811431885, 1.2581416368484497, 1.2353036403656006, 1.2011046409606934, 1.1960300207138062, 1.1653071641921997, 1.1680150032043457, 1.1385201215744019, 1.1185318231582642, 1.0769840478897095, 1.0672553777694702]","[0.3033238649368286, 0.390846848487854, 0.4314347803592682, 0.47636544704437256, 0.47502923011779785, 0.5122765898704529, 0.5261399745941162, 0.5378319621086121, 0.5488558411598206, 0.5565391778945923, 0.5655587315559387, 0.5784199237823486, 0.5977952480316162, 0.5999665856361389, 0.6074828505516052, 0.6193419098854065, 0.6380491256713867, 0.6433939933776855, 0.6453983783721924, 0.6592617630958557, 0.6741272807121277, 0.6803073287010193, 0.6823116540908813, 0.6901620030403137, 0.6945047378540039, 0.7066978216171265, 0.7087022066116333, 0.7227326035499573, 0.7257391214370728, 0.7335894703865051]","[2.1657767295837402, 1.9640898704528809, 1.9070037603378296, 1.8796498775482178, 1.7886183261871338, 1.8276598453521729, 1.788213849067688, 1.7613457441329956, 1.7146565914154053, 1.7666447162628174, 1.7235052585601807, 1.762976050376892, 1.6534725427627563, 1.6823537349700928, 1.7781624794006348, 1.6611108779907227, 1.6407768726348877, 1.597956657409668, 1.723279595375061, 1.6600627899169922, 1.6900954246520996, 1.632587194442749, 1.735353708267212, 1.5944504737854004, 1.652633786201477, 1.7163991928100586, 1.6566064357757568, 1.607846975326538, 1.7866790294647217, 1.6254687309265137]","[0.3580000102519989, 0.4233333468437195, 0.45133334398269653, 0.4699999988079071, 0.492000013589859, 0.4973333477973938, 0.4986666738986969, 0.5139999985694885, 0.5226666927337646, 0.5133333206176758, 0.5226666927337646, 0.5173333287239075, 0.5479999780654907, 0.5360000133514404, 0.5199999809265137, 0.5493333339691162, 0.5659999847412109, 0.5786666870117188, 0.5333333611488342, 0.5653333067893982, 0.5493333339691162, 0.5706666707992554, 0.5606666803359985, 0.6026666760444641, 0.5793333053588867, 0.562666654586792, 0.5759999752044678, 0.5860000252723694, 0.54666668176651, 0.5886666774749756]"
5,9,2015,0.6254501938819885,1.513290524482727,30,118.55843567848206,"[2.7540152072906494, 2.194707155227661, 2.001702308654785, 1.9065618515014648, 1.8238714933395386, 1.7412513494491577, 1.6822563409805298, 1.6436951160430908, 1.589959740638733, 1.5672345161437988, 1.5334612131118774, 1.5144691467285156, 1.4573805332183838, 1.4464683532714844, 1.3805617094039917, 1.3738116025924683, 1.3284605741500854, 1.3071463108062744, 1.2775413990020752, 1.2593885660171509, 1.2204095125198364, 1.2014477252960205, 1.1708201169967651, 1.1450445652008057, 1.1414088010787964, 1.1063181161880493, 1.1018521785736084, 1.077772617340088, 1.060145378112793, 1.0582764148712158]","[0.3028227686882019, 0.3851678669452667, 0.44145649671554565, 0.4584934115409851, 0.48521795868873596, 0.507432758808136, 0.5248037576675415, 0.5398362874984741, 0.5628862380981445, 0.5688992738723755, 0.5754134058952332, 0.5882745981216431, 0.6071488261222839, 0.6129948496818542, 0.6285284757614136, 0.6308668851852417, 0.6569233536720276, 0.6504092216491699, 0.6657758355140686, 0.6734591722488403, 0.6831468343734741, 0.6958410143852234, 0.7060297131538391, 0.7115416526794434, 0.7070319056510925, 0.7220644950866699, 0.7173876762390137, 0.7375981211662292, 0.7416068315505981, 0.732086181640625]","[2.1755223274230957, 1.988940715789795, 1.852038860321045, 1.8365261554718018, 1.794820785522461, 1.801751732826233, 1.7823762893676758, 1.7577582597732544, 1.7496031522750854, 1.7421174049377441, 1.7264018058776855, 1.8176729679107666, 1.858938455581665, 1.7683578729629517, 1.7236212491989136, 1.7292863130569458, 1.7319049835205078, 1.7280118465423584, 1.6911391019821167, 1.8192784786224365, 1.6990852355957031, 1.690290093421936, 1.664681315422058, 1.7029417753219604, 1.840846300125122, 1.7340004444122314, 1.7804718017578125, 1.6847209930419922, 1.7237415313720703, 1.7197929620742798]","[0.3580000102519989, 0.4266666769981384, 0.492000013589859, 0.49000000953674316, 0.5059999823570251, 0.5080000162124634, 0.512666642665863, 0.5306666493415833, 0.5299999713897705, 0.527999997138977, 0.5206666588783264, 0.5193333625793457, 0.5113333463668823, 0.527999997138977, 0.5519999861717224, 0.5426666736602783, 0.5406666398048401, 0.5519999861717224, 0.5666666626930237, 0.5393333435058594, 0.5720000267028809, 0.5706666707992554, 0.5973333120346069, 0.578000009059906, 0.5460000038146973, 0.578000009059906, 0.5740000009536743, 0.5960000157356262, 0.5879999995231628, 0.5953333377838135]"
5,10,942,0.6086434721946716,1.571637511253357,30,142.8980097770691,"[2.7694334983825684, 2.2517030239105225, 2.050467014312744, 1.9022362232208252, 1.8369152545928955, 1.7605597972869873, 1.7228490114212036, 1.6761749982833862, 1.6211565732955933, 1.5993207693099976, 1.5375701189041138, 1.5189356803894043, 1.506739854812622, 1.4737921953201294, 1.4349446296691895, 1.4153801202774048, 1.3839621543884277, 1.3682312965393066, 1.3567419052124023, 1.3110311031341553, 1.2743803262710571, 1.2261474132537842, 1.2130310535430908, 1.199569821357727, 1.1730506420135498, 1.1688991785049438, 1.15128755569458, 1.121164083480835, 1.1242034435272217, 1.0822464227676392]","[0.2912978231906891, 0.37915483117103577, 0.4300985336303711, 0.4558209478855133, 0.47686654329299927, 0.5042592287063599, 0.5099381804466248, 0.528979480266571, 0.5415065884590149, 0.5495239496231079, 0.5712376832962036, 0.5770837068557739, 0.5800902247428894, 0.5902789235115051, 0.601469874382019, 0.6081510186195374, 0.6300317645072937, 0.6218473315238953, 0.6403875350952148, 0.6500751376152039, 0.659595787525177, 0.6818106174468994, 0.6818106174468994, 0.6884917616844177, 0.6998496651649475, 0.704025387763977, 0.7025221586227417, 0.7230666279792786, 0.7145481705665588, 0.7285785675048828]","[2.184211492538452, 1.9845410585403442, 1.847445011138916, 1.7892630100250244, 1.7457008361816406, 1.706607699394226, 1.7407011985778809, 1.671850562095642, 1.669756293296814, 1.6817257404327393, 1.6359752416610718, 1.678694486618042, 1.6683259010314941, 1.6272825002670288, 1.5665324926376343, 1.6021028757095337, 1.6014879941940308, 1.5871775150299072, 1.5822162628173828, 1.569779634475708, 1.5252013206481934, 1.5510445833206177, 1.5844935178756714, 1.5577802658081055, 1.5582635402679443, 1.5179469585418701, 1.5166070461273193, 1.5124632120132446, 1.4877314567565918, 1.5185389518737793]","[0.3199999928474426, 0.3986666798591614, 0.45266667008399963, 0.48133334517478943, 0.4973333477973938, 0.5113333463668823, 0.5086666941642761, 0.5220000147819519, 0.5346666574478149, 0.5326666831970215, 0.5386666655540466, 0.5339999794960022, 0.5379999876022339, 0.5413333177566528, 0.5699999928474426, 0.5646666884422302, 0.5786666870117188, 0.5666666626930237, 0.5879999995231628, 0.5846666693687439, 0.5926666855812073, 0.6000000238418579, 0.5733333230018616, 0.6006666421890259, 0.6019999980926514, 0.6106666922569275, 0.6186666488647461, 0.6186666488647461, 0.6333333253860474, 0.6133333444595337]"
